X,Y,Altura,Orientacao,Tempo
-0.09012123197317123,0.018019475042819977,7.7997517585754395,-2.650355277397449,1635626189.91433
-0.0905308648943901,0.018502306193113327,7.758159637451172,-2.6332597203812806,1635626190.0150173
-0.0905308648943901,0.018502306193113327,7.758159637451172,-2.593429078456405,1635626190.1166313
-0.0905308648943901,0.018502306193113327,7.758159637451172,-2.712761173562191,1635626190.226767
-0.09074485301971436,0.01852109283208847,7.731045722961426,-3.4635362343140805,1635626190.3301597
-0.09062828868627548,0.018296940252184868,7.705571174621582,-6.220477125586879,1635626190.4310586
-0.09007822722196579,0.01763276942074299,7.660196304321289,-8.548580820352681,1635626190.547016
-0.08948461711406708,0.017031310126185417,7.635097026824951,-12.301479450535512,1635626190.6482227
-0.08883121609687805,0.016563331708312035,7.607032299041748,-13.645125631677788,1635626190.7489502
-0.08883121609687805,0.016563331708312035,7.607032299041748,-14.565944029957247,1635626190.8664649
-0.08827640861272812,0.015723315998911858,7.574456691741943,-17.488389142894594,1635626190.9671335
-0.08746042102575302,0.015205487608909607,7.54681921005249,-18.69264549948212,1635626191.0678067
-0.08683411777019501,0.014687547460198402,7.523727893829346,-20.239532004031577,1635626191.1868246
-0.08683411777019501,0.014687547460198402,7.523727893829346,-21.829375746467832,1635626191.2880132
-0.08531918376684189,0.01347286906093359,7.457510948181152,-26.957091216203988,1635626191.3887084
-0.08506768196821213,0.013216315768659115,7.430074691772461,-30.128222398575254,1635626191.5065427
-0.08461888879537582,0.013029969297349453,7.402523040771484,-31.76557046417135,1635626191.6072056
-0.08386310189962387,0.012823961675167084,7.354618072509766,-35.12591483366963,1635626191.707896
-0.08305466175079346,0.012481696903705597,7.319626808166504,-38.540031979416824,1635626191.8269138
-0.08305466175079346,0.012481696903705597,7.319626808166504,-41.978535853985505,1635626191.927802
-0.08237271010875702,0.011945599690079689,7.264173984527588,-43.67244759058591,1635626192.0285196
-0.08237271010875702,0.011945599690079689,7.264173984527588,-45.3756430736488,1635626192.146778
-0.08237271010875702,0.011945599690079689,7.264173984527588,-47.09744993791185,1635626192.2474105
-0.08157151937484741,0.011847050860524178,7.225205898284912,-48.46083236951351,1635626192.3486047
-0.08116781711578369,0.011517181061208248,7.1934075355529785,-52.11708312113042,1635626192.4664376
-0.08043168485164642,0.011187930591404438,7.153288841247559,-55.436699980106404,1635626192.5674176
-0.07938198745250702,0.01135272067040205,7.125147342681885,-56.99023104859996,1635626192.6680038
-0.07829426974058151,0.010899181477725506,7.065799713134766,-59.67406002933219,1635626192.7688577
-0.07829426974058151,0.010899181477725506,7.065799713134766,-61.17136944315263,1635626192.869854
-0.0765644982457161,0.011144767515361309,7.0277323722839355,-62.5549383095369,1635626192.9718883
-0.07706186175346375,0.010481204837560654,6.998054504394531,-65.09876309691731,1635626193.0725977
-0.07539736479520798,0.01073842216283083,6.972519397735596,-67.5095626717772,1635626193.1734006
-0.07429337501525879,0.010657195933163166,6.932287216186523,-69.42795791584629,1635626193.2742784
-0.07445267587900162,0.010312912985682487,6.906312942504883,-71.39327776066875,1635626193.3748958
-0.0734858587384224,0.01031426154077053,6.868807792663574,-73.0366212773512,1635626193.4756503
-0.07490374147891998,0.009312818758189678,6.804555892944336,-75.4262577906825,1635626193.5763643
-0.07435455173254013,0.009261644445359707,6.785566329956055,-76.70284441239525,1635626193.6784794
-0.07603773474693298,0.008555642329156399,6.747681140899658,-78.07619198112286,1635626193.7791486
-0.0750727653503418,0.008374598808586597,6.717532157897949,-78.70288429326746,1635626193.8796859
-0.07526587694883347,0.008065515197813511,6.679832935333252,-79.72147175275323,1635626193.9806037
-0.07375232130289078,0.00789385661482811,6.622957706451416,-80.80353299559269,1635626194.1006658
-0.07436222583055496,0.0077455672435462475,6.585174560546875,-81.75142790117138,1635626194.201556
-0.0741763487458229,0.007702372968196869,6.558694839477539,-83.21819481533213,1635626194.3072445
-0.07152876257896423,0.008250207640230656,6.528560638427734,-83.21819481533213,1635626194.4085107
-0.0697697326540947,0.009581658989191055,6.483046054840088,-84.0096403331792,1635626194.510081
-0.0697697326540947,0.009581658989191055,6.483046054840088,-84.36251823848872,1635626194.6123824
-0.06725317984819412,0.010262910276651382,6.460173606872559,-84.83880933372443,1635626194.7141876
